pareto_p,yield_thresh,n_rounds,k_escape,survey,recall,corpus_size,n_rounds_run,recall_r1,recall_r2,recall_r3
10,0.01,1,5,S1_MIT,1.0,96488,1,1.0,,
10,0.01,1,5,S2_UCG,0.3148148148148148,12329,1,0.3148148148148148,,
10,0.01,1,5,S3_TOPO,0.5322997416020672,23021,1,0.5322997416020672,,
10,0.01,1,10,S1_MIT,1.0,96488,1,1.0,,
10,0.01,1,10,S2_UCG,0.3148148148148148,12329,1,0.3148148148148148,,
10,0.01,1,10,S3_TOPO,0.5322997416020672,23021,1,0.5322997416020672,,
10,0.01,1,20,S1_MIT,1.0,96488,1,1.0,,
10,0.01,1,20,S2_UCG,0.3148148148148148,12329,1,0.3148148148148148,,
10,0.01,1,20,S3_TOPO,0.5322997416020672,23021,1,0.5322997416020672,,
10,0.01,1,50,S1_MIT,1.0,96488,1,1.0,,
10,0.01,1,50,S2_UCG,0.3148148148148148,12329,1,0.3148148148148148,,
10,0.01,1,50,S3_TOPO,0.5322997416020672,23021,1,0.5322997416020672,,
10,0.01,2,5,S1_MIT,1.0,96488,1,1.0,,
10,0.01,2,5,S2_UCG,0.43287037037037035,32133,2,0.3148148148148148,0.43287037037037035,
10,0.01,2,5,S3_TOPO,0.5503875968992248,36013,2,0.5322997416020672,0.5503875968992248,
10,0.01,2,10,S1_MIT,1.0,96488,1,1.0,,
10,0.01,2,10,S2_UCG,0.5347222222222222,44563,2,0.3148148148148148,0.5347222222222222,
10,0.01,2,10,S3_TOPO,0.5503875968992248,45721,2,0.5322997416020672,0.5503875968992248,
10,0.01,2,20,S1_MIT,1.0,96488,1,1.0,,
10,0.01,2,20,S2_UCG,0.5949074074074074,63212,2,0.3148148148148148,0.5949074074074074,
10,0.01,2,20,S3_TOPO,0.5607235142118863,51259,2,0.5322997416020672,0.5607235142118863,
10,0.01,2,50,S1_MIT,1.0,96488,1,1.0,,
10,0.01,2,50,S2_UCG,0.7152777777777778,89284,2,0.3148148148148148,0.7152777777777778,
10,0.01,2,50,S3_TOPO,0.6175710594315246,75895,2,0.5322997416020672,0.6175710594315246,
10,0.01,3,5,S1_MIT,1.0,96488,1,1.0,,
10,0.01,3,5,S2_UCG,0.4513888888888889,45011,3,0.3148148148148148,0.43287037037037035,0.4513888888888889
10,0.01,3,5,S3_TOPO,0.5503875968992248,46072,3,0.5322997416020672,0.5503875968992248,0.5503875968992248
10,0.01,3,10,S1_MIT,1.0,96488,1,1.0,,
10,0.01,3,10,S2_UCG,0.6111111111111112,56739,3,0.3148148148148148,0.5347222222222222,0.6111111111111112
10,0.01,3,10,S3_TOPO,0.6149870801033591,52280,3,0.5322997416020672,0.5503875968992248,0.6149870801033591
10,0.01,3,20,S1_MIT,1.0,96488,1,1.0,,
10,0.01,3,20,S2_UCG,0.7291666666666666,79856,3,0.3148148148148148,0.5949074074074074,0.7291666666666666
10,0.01,3,20,S3_TOPO,0.6434108527131783,67466,3,0.5322997416020672,0.5607235142118863,0.6434108527131783
10,0.01,3,50,S1_MIT,1.0,96488,1,1.0,,
10,0.01,3,50,S2_UCG,0.8888888888888888,119346,3,0.3148148148148148,0.7152777777777778,0.8888888888888888
10,0.01,3,50,S3_TOPO,0.7441860465116279,97432,3,0.5322997416020672,0.6175710594315246,0.7441860465116279
10,0.02,1,5,S1_MIT,0.4793814432989691,16718,1,0.4793814432989691,,
10,0.02,1,5,S2_UCG,0.3148148148148148,12329,1,0.3148148148148148,,
10,0.02,1,5,S3_TOPO,0.5322997416020672,23021,1,0.5322997416020672,,
10,0.02,1,10,S1_MIT,0.4793814432989691,16718,1,0.4793814432989691,,
10,0.02,1,10,S2_UCG,0.3148148148148148,12329,1,0.3148148148148148,,
10,0.02,1,10,S3_TOPO,0.5322997416020672,23021,1,0.5322997416020672,,
10,0.02,1,20,S1_MIT,0.4793814432989691,16718,1,0.4793814432989691,,
10,0.02,1,20,S2_UCG,0.3148148148148148,12329,1,0.3148148148148148,,
10,0.02,1,20,S3_TOPO,0.5322997416020672,23021,1,0.5322997416020672,,
10,0.02,1,50,S1_MIT,0.4793814432989691,16718,1,0.4793814432989691,,
10,0.02,1,50,S2_UCG,0.3148148148148148,12329,1,0.3148148148148148,,
