doi,in_deg,out_deg,total_deg,journal,year,bfs_dist_from_recovered,bfs_dist_from_seeds,bfs_dist_from_survey
10.1103/PhysRevA.88.043847,6,10,16,PhysRevA,2057.0,1,2,1
10.1103/PhysRevA.49.4935,10,21,31,PhysRevA,2018.0,2,2,1
10.1103/PhysRevA.86.012307,8,50,58,PhysRevA,2055.0,1,2,1
10.1103/PhysRevB.65.144440,89,3,92,PhysRevB,2034.0,2,2,1
10.1103/PhysRevA.79.041804,5,12,17,PhysRevA,2048.0,1,2,1
10.1103/PhysRevA.90.053811,5,12,17,PhysRevA,2059.0,1,2,1
10.1103/PhysRev.83.776,90,4,94,PhysRev,,1,2,1
10.1103/PhysRevE.79.026610,13,11,24,PhysRevE,2024.0,2,2,1
10.1103/PhysRevA.61.063803,2,13,15,PhysRevA,2030.0,2,2,1
10.1103/PhysRevLett.84.3740,54,2,56,PhysRevLett,2041.0,1,2,1
10.1103/PhysRevLett.108.213907,14,8,22,PhysRevLett,2065.0,2,2,1
10.1103/PhysRevB.95.161115,4,75,79,PhysRevB,2064.0,1,1,1
